iter	Passed	Remaining
416	2804	3920
417	2810	3913
418	2817	3907
419	2824	3900
420	2831	3893
421	2837	3886
422	2843	3879
423	2850	3872
424	2856	3864
425	2863	3857
426	2869	3850
427	2875	3843
428	2882	3836
429	2888	3829
430	2894	3821
431	2901	3814
432	2907	3807
433	2914	3800
434	2920	3793
435	2926	3786
436	2933	3779
437	2939	3772
438	2946	3764
439	2952	3757
440	2958	3750
441	2965	3743
442	2972	3737
443	2979	3731
444	2988	3726
445	2996	3722
446	3002	3715
447	3009	3708
448	3015	3700
449	3022	3694
450	3029	3687
451	3035	3680
452	3041	3673
453	3048	3665
454	3054	3658
455	3061	3651
456	3067	3644
457	3073	3637
458	3080	3630
459	3086	3623
460	3093	3616
461	3099	3609
462	3105	3602
463	3112	3595
464	3118	3588
465	3124	3580
466	3131	3573
467	3137	3566
468	3144	3559
469	3150	3552
470	3156	3545
471	3163	3538
472	3170	3532
473	3178	3526
474	3186	3521
475	3192	3514
476	3199	3507
477	3206	3501
478	3213	3494
479	3219	3487
480	3225	3480
481	3232	3473
482	3238	3466
483	3245	3459
484	3251	3452
485	3258	3445
486	3264	3438
487	3271	3431
488	3277	3424
489	3283	3417
490	3290	3410
491	3296	3403
492	3303	3396
493	3309	3390
494	3316	3383
495	3322	3376
496	3328	3368
497	3335	3362
498	3341	3355
499	3348	3348
500	3354	3341
501	3360	3334
502	3368	3327
503	3376	3322
504	3383	3316
505	3389	3309
506	3397	3303
507	3404	3297
508	3410	3290
509	3417	3283
510	3423	3276
511	3430	3269
512	3436	3262
513	3442	3255
514	3449	3248
515	3455	3241
516	3462	3234
517	3468	3227
518	3475	3220
519	3481	3213
520	3488	3206
521	3494	3199
522	3501	3193
523	3507	3186
524	3514	3180
525	3521	3173
526	3528	3166
527	3534	3159
528	3541	3152
529	3547	3146
530	3554	3139
531	3560	3132
532	3568	3127
533	3575	3120
534	3583	3115
535	3592	3109
536	3598	3102
537	3604	3095
538	3611	3088
539	3617	3081
540	3624	3074
541	3630	3067
542	3636	3060
543	3643	3053
544	3649	3046
545	3656	3040
546	3662	3033
547	3669	3026
548	3675	3019
549	3681	3012
550	3688	3005
551	3694	2998
552	3700	2991
553	3707	2984
554	3713	2977
555	3720	2970
556	3726	2963
557	3732	2956
558	3739	2950
559	3745	2943
560	3752	2936
561	3758	2929
562	3765	2923
563	3773	2916
564	3781	2911
565	3788	2904
566	3794	2897
567	3802	2891
568	3808	2885
569	3815	2878
570	3821	2871
571	3828	2864
572	3834	2857
573	3840	2850
574	3847	2843
575	3853	2836
576	3860	2829
577	3866	2822
578	3872	2815
579	3879	2809
580	3885	2802
581	3891	2795
582	3898	2788
583	3904	2781
584	3911	2774
585	3917	2767
586	3924	2760
587	3930	2754
588	3936	2747
589	3943	2740
590	3949	2733
591	3956	2726
592	3963	2720
593	3972	2715
594	3979	2708
595	3985	2701
596	3993	2695
597	4000	2689
598	4006	2682
599	4013	2675
600	4019	2668
601	4026	2661
602	4032	2654
603	4038	2647
604	4045	2641
605	4051	2634
606	4057	2627
607	4064	2620
608	4070	2613
609	4077	2606
610	4083	2600
611	4090	2593
612	4096	2586
613	4102	2579
614	4109	2572
615	4115	2565
616	4121	2558
